subject_id,split_no,hostname,start_time,end_time,runtime_seconds
31106616463767,0,g3051,2026-01-31T07:08:59.743056,2026-01-31T07:09:26.120033,26.38
subject_id,split_no,hostname,start_time,end_time,runtime_seconds
21912957831748,1,g3063,2026-01-31T07:09:01.102535,2026-01-31T07:09:26.382728,25.28
subject_id,split_no,hostname,start_time,end_time,runtime_seconds
40378064041205,0,g3051,2026-01-31T07:09:27.895429,2026-01-31T07:10:00.568254,32.67
subject_id,split_no,hostname,start_time,end_time,runtime_seconds
22783198456254,1,g3063,2026-01-31T07:09:26.394807,2026-01-31T07:10:01.750610,35.36
subject_id,split_no,hostname,start_time,end_time,runtime_seconds
46975302291393,0,g3051,2026-01-31T07:10:00.607003,2026-01-31T07:10:31.639325,31.03
subject_id,split_no,hostname,start_time,end_time,runtime_seconds
24551911631824,1,g3063,2026-01-31T07:10:01.763985,2026-01-31T07:10:32.104285,30.34
subject_id,split_no,hostname,start_time,end_time,runtime_seconds
62692215849422,0,g3051,2026-01-31T07:10:31.656933,2026-01-31T07:10:55.364590,23.71
subject_id,split_no,hostname,start_time,end_time,runtime_seconds
26833157256271,1,g3063,2026-01-31T07:10:32.117321,2026-01-31T07:11:01.398155,29.28
subject_id,split_no,hostname,start_time,end_time,runtime_seconds
84541548076919,0,g3051,2026-01-31T07:10:55.387749,2026-01-31T07:11:20.919082,25.53
subject_id,split_no,hostname,start_time,end_time,runtime_seconds
27896086573534,1,g3063,2026-01-31T07:11:01.415026,2026-01-31T07:11:29.809174,28.39
subject_id,split_no,hostname,start_time,end_time,runtime_seconds
30223399781499,1,g3063,2026-01-31T07:11:29.823307,2026-01-31T07:11:52.517749,22.69
subject_id,split_no,hostname,start_time,end_time,runtime_seconds
31351035633578,1,g3063,2026-01-31T07:11:52.523427,2026-01-31T07:12:21.921994,29.40
subject_id,split_no,hostname,start_time,end_time,runtime_seconds
10244062723965,2,g3060,2026-01-31T07:11:54.117870,2026-01-31T07:12:51.229927,57.11
subject_id,split_no,hostname,start_time,end_time,runtime_seconds
40517844001162,1,g3063,2026-01-31T07:12:30.621633,2026-01-31T07:12:54.919824,24.30
subject_id,split_no,hostname,start_time,end_time,runtime_seconds
65715967822251,1,g3063,2026-01-31T07:12:56.779283,2026-01-31T07:13:19.791453,23.01
subject_id,split_no,hostname,start_time,end_time,runtime_seconds
12295585158434,2,g3060,2026-01-31T07:12:51.249166,2026-01-31T07:13:20.842489,29.59
subject_id,split_no,hostname,start_time,end_time,runtime_seconds
84898953059284,1,g3063,2026-01-31T07:13:19.799975,2026-01-31T07:13:45.655058,25.86
subject_id,split_no,hostname,start_time,end_time,runtime_seconds
16580717943140,2,g3060,2026-01-31T07:13:23.364507,2026-01-31T07:13:45.847246,22.48
subject_id,split_no,hostname,start_time,end_time,runtime_seconds
17393945148956,2,g3060,2026-01-31T07:13:45.857204,2026-01-31T07:14:19.951272,34.09
subject_id,split_no,hostname,start_time,end_time,runtime_seconds
18587545975395,2,g3060,2026-01-31T07:14:19.958481,2026-01-31T07:14:50.047977,30.09
subject_id,split_no,hostname,start_time,end_time,runtime_seconds
20567292369503,2,g3060,2026-01-31T07:14:50.055673,2026-01-31T07:15:15.879299,25.82
subject_id,split_no,hostname,start_time,end_time,runtime_seconds
10398309591377,3,g3051,2026-01-31T07:14:27.138484,2026-01-31T07:15:20.882329,53.74
subject_id,split_no,hostname,start_time,end_time,runtime_seconds
22029752470512,2,g3060,2026-01-31T07:15:15.887202,2026-01-31T07:15:39.052709,23.17
subject_id,split_no,hostname,start_time,end_time,runtime_seconds
12483336067346,3,g3051,2026-01-31T07:15:20.890242,2026-01-31T07:15:46.458721,25.57
subject_id,split_no,hostname,start_time,end_time,runtime_seconds
23148363972280,2,g3060,2026-01-31T07:15:39.075861,2026-01-31T07:16:08.037624,28.96
subject_id,split_no,hostname,start_time,end_time,runtime_seconds
14762184019761,3,g3051,2026-01-31T07:15:46.480006,2026-01-31T07:16:13.858273,27.38
subject_id,split_no,hostname,start_time,end_time,runtime_seconds
24626801357217,2,g3060,2026-01-31T07:16:08.066866,2026-01-31T07:16:36.549942,28.48
subject_id,split_no,hostname,start_time,end_time,runtime_seconds
16596482480503,3,g3051,2026-01-31T07:16:13.863296,2026-01-31T07:16:43.416357,29.55
subject_id,split_no,hostname,start_time,end_time,runtime_seconds
26858321694770,2,g3060,2026-01-31T07:16:36.584258,2026-01-31T07:17:06.967038,30.38
subject_id,split_no,hostname,start_time,end_time,runtime_seconds
17438703990611,3,g3051,2026-01-31T07:16:43.425760,2026-01-31T07:17:12.874835,29.45
subject_id,split_no,hostname,start_time,end_time,runtime_seconds
27900479268080,2,g3060,2026-01-31T07:17:06.990142,2026-01-31T07:17:30.079477,23.09
subject_id,split_no,hostname,start_time,end_time,runtime_seconds
18593047283669,3,g3051,2026-01-31T07:17:12.885158,2026-01-31T07:17:39.661295,26.78
subject_id,split_no,hostname,start_time,end_time,runtime_seconds
30249571217369,2,g3060,2026-01-31T07:17:30.104829,2026-01-31T07:17:52.842581,22.74
subject_id,split_no,hostname,start_time,end_time,runtime_seconds
20753900311247,3,g3051,2026-01-31T07:17:39.670684,2026-01-31T07:18:02.927720,23.26
subject_id,split_no,hostname,start_time,end_time,runtime_seconds
31513092502755,2,g3060,2026-01-31T07:17:52.863543,2026-01-31T07:18:20.598177,27.73
subject_id,split_no,hostname,start_time,end_time,runtime_seconds
22222013311100,3,g3051,2026-01-31T07:18:02.954693,2026-01-31T07:18:30.842100,27.89
subject_id,split_no,hostname,start_time,end_time,runtime_seconds
33690685722826,2,g3060,2026-01-31T07:18:20.623746,2026-01-31T07:18:47.845084,27.22
subject_id,split_no,hostname,start_time,end_time,runtime_seconds
23218855559881,3,g3051,2026-01-31T07:18:30.919260,2026-01-31T07:19:00.789145,29.87
subject_id,split_no,hostname,start_time,end_time,runtime_seconds
48239930456278,2,g3060,2026-01-31T07:18:49.767702,2026-01-31T07:19:15.391073,25.62
subject_id,split_no,hostname,start_time,end_time,runtime_seconds
25097313172624,3,g3051,2026-01-31T07:19:00.811003,2026-01-31T07:19:36.715764,35.90
subject_id,split_no,hostname,start_time,end_time,runtime_seconds
70763336732891,2,g3060,2026-01-31T07:19:15.417551,2026-01-31T07:19:41.360667,25.94
subject_id,split_no,hostname,start_time,end_time,runtime_seconds
26893343487601,3,g3051,2026-01-31T07:19:36.736992,2026-01-31T07:20:05.527392,28.79
